"행정구역","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인세대"
"경상북도 영덕군 (4777000000)","20,123","9,905","5,697","2,367","1,416","537","153","29","12","3","4"
"경상북도 청도군 (4782000000)","22,181","10,575","6,383","2,726","1,618","608","205","44","7","6","9"
"경상북도 고령군 (4783000000)","16,204","7,306","4,526","2,157","1,489","495","162","50","11","3","5"
"경상북도 성주군 (4784000000)","22,677","10,889","6,109","2,853","1,723","715","262","89","24","4","9"
"경상북도 칠곡군 (4785000000)","52,599","21,241","11,478","8,782","8,330","2,144","464","109","29","6","16"
"경상북도 예천군 (4790000000)","25,273","10,433","7,482","3,496","2,537","951","271","75","16","5","7"
"경상북도 봉화군 (4792000000)","16,705","7,705","4,998","2,015","1,228","512","166","54","14","8","5"
"경상북도 울진군 (4793000000)","25,137","11,937","6,496","3,214","2,417","804","190","57","16","2","4"
"경상북도 울릉군 (4794000000)","5,490","3,192","1,161","535","382","150","58","10","1","1","0"
"경상남도  (4800000000)","1,425,271","505,587","334,894","256,030","243,636","66,330","14,208","3,247","786","259","294"
"경상남도 창원시 (4812000000)","425,771","135,663","95,545","84,790","84,157","20,467","3,999","824","188","71","67"
"경상남도 진주시 (4817000000)","145,153","51,098","33,554","26,499","24,654","7,356","1,560","327","64","19","22"
"경상남도 통영시 (4822000000)","59,125","22,509","15,045","9,785","8,375","2,617","590","143","35","13","13"
"경상남도 사천시 (4824000000)","52,184","21,643","12,741","8,170","6,886","2,107","483","109","27","7","11"
"경상남도 김해시 (4825000000)","208,710","63,324","43,869","42,094","44,997","11,463","2,284","487","128","33","31"
"경상남도 밀양시 (4827000000)","51,044","22,184","13,886","7,062","5,384","1,855","481","122","32","17","21"
"경상남도 거제시 (4831000000)","100,775","33,677","20,755","18,952","20,667","5,364","1,032","242","56","18","12"
"경상남도 양산시 (4833000000)","141,871","45,381","32,864","28,220","27,040","6,667","1,320","266","68","20","25"
"경상남도 의령군 (4872000000)","14,587","7,400","3,995","1,607","980","438","115","29","10","7","6"
"경상남도 함안군 (4873000000)","30,989","13,014","7,777","4,622","3,890","1,277","299","79","21","5","5"
"경상남도 창녕군 (4874000000)","31,429","14,203","9,054","3,982","2,713","1,047","298","82","25","13","12"
"경상남도 고성군 (4882000000)","25,842","11,674","6,967","3,382","2,454","976","283","76","15","4","11"
"경상남도 남해군 (4884000000)","22,255","10,051","6,814","2,723","1,708","673","202","53","17","4","10"
"경상남도 하동군 (4885000000)","23,631","11,052","6,561","2,917","1,839","815","299","92","27","5","24"
"경상남도 산청군 (4886000000)","18,856","9,455","5,171","2,114","1,286","552","184","62","16","7","9"
"경상남도 함양군 (4887000000)","20,159","9,628","5,460","2,361","1,648","719","241","78","16","5","3"
"경상남도 거창군 (4888000000)","28,814","11,772","7,893","4,078","3,325","1,290","327","95","25","6","3"
"경상남도 합천군 (4889000000)","24,076","11,859","6,943","2,672","1,633","647","211","81","16","5","9"
"제주특별자치도  (5000000000)","287,104","114,932","61,098","46,270","41,690","17,082","4,358","1,215","294","97","68"
"제주특별자치도 제주시 (5011000000)","204,621","79,067","42,389","34,039","31,976","12,824","3,179","833","210","58","46"
"제주특별자치도 서귀포시 (5013000000)","82,483","35,865","18,709","12,231","9,714","4,258","1,179","382","84","39","22"
