"행정구역","2014년12월_남자 평균연령","2014년12월_여자 평균연령","2014년12월_평균연령"
"서울특별시 노원구 상계8동(1135070000)","34.6","36.6","35.6"
"서울특별시 노원구 상계9동(1135071000)","37","39.7","38.4"
"서울특별시 노원구 상계10동(1135072000)","37.2","39.8","38.6"
"서울특별시 은평구 (1138000000)","39.8","41.8","40.8"
"서울특별시 은평구 녹번동(1138051000)","41.1","43.2","42.2"
"서울특별시 은평구 불광제1동(1138052000)","39.6","41.9","40.8"
"서울특별시 은평구 불광제2동(1138053000)","41.5","44.1","42.8"
"서울특별시 은평구 갈현제1동(1138055100)","40.2","42.6","41.4"
"서울특별시 은평구 갈현제2동(1138055200)","39","40.9","40"
"서울특별시 은평구 구산동(1138056000)","41.5","41.3","41.4"
"서울특별시 은평구 대조동(1138057000)","40.6","41.9","41.3"
"서울특별시 은평구 응암제1동(1138058000)","39.1","41.6","40.4"
"서울특별시 은평구 응암제2동(1138059000)","38.5","41.3","39.9"
"서울특별시 은평구 응암제3동(1138060000)","41.2","44","42.6"
"서울특별시 은평구 역촌동(1138062500)","39.2","41.1","40.1"
"서울특별시 은평구 신사제1동(1138063100)","39.4","41.3","40.3"
"서울특별시 은평구 신사제2동(1138063200)","39.6","42","40.8"
"서울특별시 은평구 증산동(1138064000)","40.6","42.5","41.5"
"서울특별시 은평구 수색동(1138065000)","41.6","44.4","43"
"서울특별시 은평구 진관동(1138069000)","36.7","38.7","37.7"
"서울특별시 서대문구 (1141000000)","40.2","42.5","41.4"
"서울특별시 서대문구 천연동(1141052000)","39.7","42.4","41.1"
"서울특별시 서대문구 북아현동(1141055500)","41.1","43.8","42.5"
"서울특별시 서대문구 충현동(1141056500)","41.8","43.9","42.9"
"서울특별시 서대문구 신촌동(1141058500)","36.9","38","37.5"
"서울특별시 서대문구 연희동(1141061500)","39.8","41.9","40.9"
"서울특별시 서대문구 홍제제1동(1141062000)","40.6","43.3","42"
"서울특별시 서대문구 홍제제3동(1141064000)","41.7","44.4","43.1"
"서울특별시 서대문구 홍제제2동(1141065500)","40.2","42.7","41.5"
"서울특별시 서대문구 홍은제1동(1141066000)","41.3","43.6","42.5"
"서울특별시 서대문구 홍은제2동(1141068500)","40.3","42.5","41.4"
"서울특별시 서대문구 남가좌제1동(1141069000)","44.2","46.1","45.1"
"서울특별시 서대문구 남가좌제2동(1141070000)","40.6","43.2","41.9"
"서울특별시 서대문구 북가좌제1동(1141071000)","38.4","40.2","39.3"
"서울특별시 서대문구 북가좌제2동(1141072000)","39.9","42","41"
"서울특별시 마포구 (1144000000)","38.9","40.6","39.8"
"서울특별시 마포구 아현동(1144055500)","39.2","40.6","39.9"
"서울특별시 마포구 공덕동(1144056500)","40.4","42.2","41.3"
"서울특별시 마포구 도화동(1144058500)","39.9","42.1","41"
"서울특별시 마포구 용강동(1144059000)","38","39.7","38.9"
"서울특별시 마포구 대흥동(1144060000)","40.2","41.8","41"
"서울특별시 마포구 염리동(1144061000)","40.9","43.1","42"
"서울특별시 마포구 신수동(1144063000)","38.9","41.3","40.1"
"서울특별시 마포구 서강동(1144065500)","37.7","39.2","38.5"
"서울특별시 마포구 서교동(1144066000)","39.7","39.7","39.7"
"서울특별시 마포구 합정동(1144068000)","38.5","40","39.3"
"서울특별시 마포구 망원제1동(1144069000)","39.4","41.3","40.4"
"서울특별시 마포구 망원제2동(1144070000)","38.7","40","39.4"
"서울특별시 마포구 연남동(1144071000)","39.9","41.7","40.8"
"서울특별시 마포구 성산제1동(1144072000)","39.5","41.3","40.4"
"서울특별시 마포구 성산제2동(1144073000)","37.7","40.5","39.1"
"서울특별시 마포구 상암동(1144074000)","35.7","37.5","36.6"
"서울특별시 양천구 (1147000000)","38","39.8","39"
"서울특별시 양천구 목1동(1147051000)","36","36.7","36.4"
"서울특별시 양천구 목2동(1147052000)","38.1","40.1","39.1"
"서울특별시 양천구 목3동(1147053000)","38.9","41.2","40.1"
"서울특별시 양천구 목4동(1147054000)","36.4","39","37.7"
"서울특별시 양천구 목5동(1147055000)","35.5","37.7","36.6"
"서울특별시 양천구 신월1동(1147056000)","40.6","42","41.2"
"서울특별시 양천구 신월2동(1147057000)","39.3","41.1","40.2"
"서울특별시 양천구 신월3동(1147058000)","41.1","42.6","41.8"
"서울특별시 양천구 신월4동(1147059000)","38.4","39.8","39.1"
"서울특별시 양천구 신월5동(1147060000)","38.6","40.3","39.5"
"서울특별시 양천구 신월6동(1147061000)","40.6","42.9","41.7"
"서울특별시 양천구 신월7동(1147061100)","39.7","42","40.8"
"서울특별시 양천구 신정1동(1147062000)","37.3","38.7","38"
"서울특별시 양천구 신정2동(1147063000)","37.8","39.4","38.6"
"서울특별시 양천구 신정3동(1147064000)","37.2","39.2","38.2"
"서울특별시 양천구 신정4동(1147065000)","39.9","41.2","40.6"
"서울특별시 양천구 신정6동(1147067000)","36","37.4","36.7"
"서울특별시 양천구 신정7동(1147068000)","38.7","41.6","40.1"
"서울특별시 강서구 (1150000000)","38.6","40.4","39.5"
"서울특별시 강서구 염창동(1150051000)","36","37.2","36.6"
"서울특별시 강서구 등촌제1동(1150052000)","38","38.7","38.4"
"서울특별시 강서구 등촌제2동(1150053000)","38.3","40.7","39.5"
"서울특별시 강서구 등촌제3동(1150053500)","39.4","43","41.2"
"서울특별시 강서구 화곡제1동(1150054000)","39.9","41.5","40.7"
"서울특별시 강서구 화곡제2동(1150055000)","38.3","39.7","39.1"
"서울특별시 강서구 화곡제3동(1150056000)","40.2","41.7","41"
