"행정구역","2015년12월_전체세대","2015년12월_1인세대","2015년12월_2인세대","2015년12월_3인세대","2015년12월_4인세대","2015년12월_5인세대","2015년12월_6인세대","2015년12월_7인세대","2015년12월_8인세대","2015년12월_9인세대","2015년12월_10인세대"
"경기도 과천시 (4129000000)","25,030","6,613","4,555","5,158","6,568","1,631","366","103","24","6","6"
"경기도 구리시 (4131000000)","71,602","21,694","13,544","14,371","16,741","4,067","908","205","44","17","11"
"경기도 남양주시 (4136000000)","246,353","68,432","51,112","50,399","56,618","15,199","3,527","815","172","56","23"
"경기도 오산시 (4137000000)","81,033","27,075","14,621","14,891","18,280","4,854","964","264","60","14","10"
"경기도 시흥시 (4139000000)","157,755","55,034","26,917","28,589","35,709","9,165","1,767","404","111","42","17"
"경기도 군포시 (4141000000)","106,771","28,221","20,961","22,791","27,132","6,078","1,206","274","79","16","13"
"경기도 의왕시 (4143000000)","58,505","15,404","11,575","12,635","14,446","3,518","699","178","32","12","6"
"경기도 하남시 (4145000000)","66,797","21,882","13,956","12,887","13,478","3,573","755","202","47","12","5"
"경기도 용인시 (4146000000)","354,267","90,014","68,213","74,585","92,314","22,377","5,079","1,198","306","114","67"
"경기도 파주시 (4148000000)","171,753","60,186","34,471","30,943","33,672","9,601","2,203","493","122","33","29"
"경기도 이천시 (4150000000)","81,228","27,262","16,655","14,604","15,942","4,958","1,295","367","102","22","21"
"경기도 안성시 (4155000000)","74,265","26,898","16,120","12,578","12,907","4,143","1,164","295","102","18","40"
"경기도 김포시 (4157000000)","133,231","38,463","27,151","27,109","30,145","7,932","1,802","451","123","32","23"
"경기도 화성시 (4159000000)","226,316","70,484","40,268","41,797","55,120","14,465","3,105","750","224","53","50"
"경기도 광주시 (4161000000)","124,114","39,919","26,176","24,452","24,454","6,889","1,644","422","109","24","25"
"경기도 양주시 (4163000000)","80,109","24,799","17,441","15,308","15,969","5,043","1,131","298","68","30","22"
"경기도 포천시 (4165000000)","67,913","27,534","14,910","10,823","9,978","3,350","964","258","61","19","16"
"경기도 여주시 (4167000000)","47,117","17,670","11,141","7,738","6,986","2,479","772","236","61","12","22"
"경기도 연천군 (4180000000)","21,381","9,605","5,034","2,966","2,389","994","272","83","25","7","6"
"경기도 가평군 (4182000000)","28,551","12,772","6,872","3,952","3,261","1,155","387","102","26","5","19"
"경기도 양평군 (4183000000)","48,629","20,028","12,171","6,970","6,101","2,359","710","201","52","16","21"
"강원도  (4200000000)","685,005","274,167","158,171","111,531","98,693","31,448","8,136","2,076","492","165","126"
"강원도 춘천시 (4211000000)","115,044","40,157","25,967","20,879","19,868","6,145","1,530","365","84","31","18"
"강원도 원주시 (4213000000)","138,380","49,240","29,993","25,268","24,775","6,989","1,599","380","72","36","28"
"강원도 강릉시 (4215000000)","93,774","35,632","22,383","16,226","13,999","4,158","1,052","245","58","12","9"
"강원도 동해시 (4217000000)","40,338","14,770","9,635","7,067","6,381","1,951","407","101","17","5","4"
"강원도 태백시 (4219000000)","22,293","9,738","5,412","3,314","2,642","844","245","67","19","7","5"
"강원도 속초시 (4221000000)","37,084","15,165","8,597","6,167","5,224","1,495","325","84","20","7","0"
"강원도 삼척시 (4223000000)","34,601","16,499","7,862","4,754","3,788","1,254","340","77","19","4","4"
"강원도 홍천군 (4272000000)","31,443","12,618","8,076","4,722","3,869","1,502","464","145","27","10","10"
"강원도 횡성군 (4273000000)","20,821","8,534","5,687","2,971","2,281","910","302","97","25","5","9"
"강원도 영월군 (4275000000)","19,990","9,461","5,087","2,603","1,828","734","198","54","15","5","5"
"강원도 평창군 (4276000000)","20,601","9,113","5,256","2,819","2,236","811","260","62","29","8","7"
"강원도 정선군 (4277000000)","19,519","9,392","4,778","2,615","1,732","674","247","64","9","6","2"
"강원도 철원군 (4278000000)","22,017","9,744","4,737","3,176","2,745","1,130","336","107","30","9","3"
"강원도 화천군 (4279000000)","13,668","7,452","2,500","1,524","1,380","571","166","49","13","4","9"
"강원도 양구군 (4280000000)","11,140","5,328","2,252","1,473","1,322","541","163","37","17","1","6"
"강원도 인제군 (4281000000)","15,594","7,298","3,221","2,132","1,954","727","192","51","14","3","2"
